GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Distributed TOTP Engine,com.enterprise.totp.config,CacheConfig,14,80,2,2,5,25,2,8,0,8
Distributed TOTP Engine,com.enterprise.totp.config,SchedulerConfig.new SmartLifecycle() {...},11,107,0,0,3,22,0,6,0,6
Distributed TOTP Engine,com.enterprise.totp.config,SchedulerConfig,0,31,0,0,0,7,0,5,0,5
Distributed TOTP Engine,com.enterprise.totp.config,TotpProperties.Encryption,0,13,0,0,0,4,0,3,0,3
Distributed TOTP Engine,com.enterprise.totp.config,TotpProperties,13,66,0,0,4,18,4,11,4,11
Distributed TOTP Engine,com.enterprise.totp.config,RequestIdFilter,7,28,2,0,0,10,2,2,1,2
Distributed TOTP Engine,com.enterprise.totp.config,TotpProperties.Cache,14,9,0,0,4,3,4,1,4,1
Distributed TOTP Engine,com.enterprise.totp.config,JitWarmupRunner,48,43,3,3,9,13,2,4,0,3
Distributed TOTP Engine,com.enterprise.totp.config,DatabaseReadinessIndicator,8,27,0,0,4,7,0,2,0,2
Distributed TOTP Engine,com.enterprise.totp.config,ApplicationStartupValidator,38,37,3,3,12,13,3,3,0,3
Distributed TOTP Engine,com.enterprise.totp.config,SecurityConfig,0,91,0,0,0,19,0,6,0,6
Distributed TOTP Engine,com.enterprise.totp.config,TotpProperties.Warmup,7,16,0,0,2,5,2,3,2,3
Distributed TOTP Engine,com.enterprise.totp.infrastructure.persistence.converter,HmacAlgorithmConverter,14,3,4,0,2,1,4,1,2,1
Distributed TOTP Engine,com.enterprise.totp,TotpEngineApplication,5,3,0,0,2,1,1,1,1,1
Distributed TOTP Engine,com.enterprise.totp.api.dto,SetupResponse,6,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.api.dto,SetupRequest,0,9,0,0,0,1,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.dto,VerifyRequest,0,9,0,0,0,1,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.dto,VerifyResponse,0,15,0,0,0,2,0,2,0,2
Distributed TOTP Engine,com.enterprise.totp.domain.replay,InMemoryReplayCache,15,65,1,5,6,12,1,8,0,6
Distributed TOTP Engine,com.enterprise.totp.application,MfaVerificationServiceImpl,0,132,1,13,0,35,1,9,0,3
Distributed TOTP Engine,com.enterprise.totp.application,MfaSetupServiceImpl,127,15,4,0,29,6,6,1,4,1
Distributed TOTP Engine,com.enterprise.totp.application,AuditingMfaVerificationDecorator,46,312,1,1,9,60,1,5,0,5
Distributed TOTP Engine,com.enterprise.totp.domain.engine,TotpEngine,0,85,0,4,0,17,0,4,0,2
Distributed TOTP Engine,com.enterprise.totp.infrastructure.crypto,AesGcmEncryptionService,19,130,1,7,5,29,1,6,0,3
Distributed TOTP Engine,com.enterprise.totp.infrastructure.persistence.entity,UserMfaProfile,35,45,0,0,10,13,10,6,10,6
Distributed TOTP Engine,com.enterprise.totp.domain.algorithm,HmacTotpStrategy,20,106,0,4,4,18,0,5,0,3
Distributed TOTP Engine,com.enterprise.totp.domain.algorithm,HmacAlgorithm,37,63,6,0,5,11,5,4,2,4
Distributed TOTP Engine,com.enterprise.totp.domain.algorithm,TotpStrategyFactory,7,44,1,3,1,8,1,3,0,2
Distributed TOTP Engine,com.enterprise.totp.infrastructure.base32,Base32Codec,0,192,2,22,0,42,2,13,0,3
Distributed TOTP Engine,com.enterprise.totp.api.exception,ReplayAttackException,0,4,0,0,0,2,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.exception,EncryptionException,0,9,0,0,0,4,0,2,0,2
Distributed TOTP Engine,com.enterprise.totp.api.exception,InvalidTotpCodeException,0,4,0,0,0,2,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.exception,MfaAlreadyEnabledException,0,5,0,0,0,2,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.exception,ServiceUnavailableException,4,0,0,0,2,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.api.exception,GlobalExceptionHandler,32,89,0,0,14,29,3,7,3,7
Distributed TOTP Engine,com.enterprise.totp.api.exception,UserNotFoundException,0,5,0,0,0,2,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.exception,MfaNotEnabledException,0,5,0,0,0,2,0,1,0,1
Distributed TOTP Engine,com.enterprise.totp.api.exception,TotpException,0,9,0,0,0,4,0,2,0,2
Distributed TOTP Engine,com.enterprise.totp.api.controller,MfaController,18,9,0,0,4,4,2,1,2,1
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.CryptoError,6,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.MfaDisabled,3,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.ReplayDetected,3,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.InvalidCode,3,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.Success,3,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,ValidationOutcome.UserNotFound,3,0,0,0,1,0,1,0,1,0
Distributed TOTP Engine,com.enterprise.totp.domain.model,TotpWindowResult,21,0,0,0,3,0,3,0,3,0
